date,temperature_c,precipitation_mm,windspeed_kmh,cloudcover_pct,snowfall_cm
2015-01-01,-6.2250000000000005,0.0,18.837500000000002,26.083333333333332,0.0
2015-01-02,-2.1166666666666667,0.0,16.708333333333332,71.66666666666667,0.07
2015-01-03,1.8916666666666666,0.0,12.654166666666667,63.041666666666664,0.0
2015-01-04,2.2916666666666665,3.6,12.279166666666667,75.0,0.07
2015-01-05,0.6625,0.0,14.674999999999999,12.666666666666666,0.0
2015-01-06,-0.725,0.0,18.933333333333334,67.875,0.0
2015-01-07,-7.154166666666666,0.0,23.575,52.041666666666664,0.0
2015-01-08,-7.125,0.0,9.304166666666667,0.125,0.0
2015-01-09,-1.8916666666666666,0.0,11.020833333333334,43.0,0.0
2015-01-10,4.645833333333333,0.6,16.1375,67.66666666666667,0.0
2015-01-11,8.55,0.0,12.737499999999999,13.041666666666666,0.0
2015-01-12,4.175,5.4,15.133333333333333,69.33333333333333,2.1
2015-01-13,2.129166666666667,0.0,8.654166666666667,0.0,0.0
2015-01-14,2.908333333333333,0.0,7.391666666666667,0.0,0.0
2015-01-15,3.5208333333333335,0.0,11.262500000000001,59.125,0.0
2015-01-16,3.954166666666667,0.0,6.8500000000000005,52.083333333333336,0.0
2015-01-17,4.0249999999999995,0.0,9.75,3.8333333333333335,0.0
2015-01-18,4.4125000000000005,0.0,8.829166666666667,52.833333333333336,0.0
2015-01-19,9.666666666666666,0.0,13.470833333333333,48.5,0.0
2015-01-20,8.208333333333334,0.0,7.154166666666666,72.29166666666667,0.0
2015-01-21,8.145833333333334,0.1,6.383333333333333,77.75,0.0
2015-01-22,8.9125,0.0,7.770833333333333,75.58333333333333,0.0
2015-01-23,8.095833333333333,0.0,10.329166666666667,67.875,0.0
2015-01-24,7.516666666666667,2.4,7.9875,82.79166666666667,0.0
2015-01-25,7.541666666666667,3.7,5.341666666666666,96.83333333333333,0.0
2015-01-26,4.641666666666667,11.1,10.725,99.95833333333333,0.0
2015-01-27,4.120833333333334,3.0,9.0875,100.0,0.0
2015-01-28,4.329166666666667,6.3,15.362499999999999,99.95833333333333,0.0
2015-01-29,4.104166666666667,0.0,8.4625,97.70833333333333,0.0
2015-01-30,8.375,0.0,19.370833333333334,93.41666666666667,0.0
2015-01-31,10.7125,14.6,19.658333333333335,98.29166666666667,0.0
2015-02-01,8.2875,35.8,10.6875,87.20833333333333,0.0
2015-02-02,8.25,0.1,7.6375,77.75,0.0
2015-02-03,4.820833333333334,9.8,13.466666666666667,70.875,0.77
2015-02-04,5.1125,1.1,12.916666666666666,81.20833333333333,0.0
2015-02-05,7.262499999999999,0.1,9.075000000000001,89.66666666666667,0.0
