date,temperature_c,precipitation_mm,windspeed_kmh,cloudcover_pct,snowfall_cm
2015-01-01,-6.154166666666666,0.0,7.4624999999999995,17.125,0.0
2015-01-02,0.17499999999999996,0.0,5.795833333333333,38.166666666666664,0.0
2015-01-03,2.3833333333333333,0.0,9.920833333333333,38.458333333333336,0.0
2015-01-04,3.529166666666667,0.4,8.158333333333333,73.58333333333333,0.0
2015-01-05,-1.15,0.0,14.854166666666666,20.666666666666668,0.0
2015-01-06,-2.9250000000000003,0.0,11.970833333333333,43.291666666666664,0.0
2015-01-07,-3.5416666666666665,0.0,8.7125,61.458333333333336,0.21000000000000002
2015-01-08,-3.3833333333333333,0.0,5.845833333333334,44.166666666666664,0.0
2015-01-09,-0.5333333333333333,0.0,5.754166666666666,39.875,0.0
2015-01-10,4.625,0.5,9.033333333333333,84.875,0.0
2015-01-11,7.445833333333333,0.0,6.154166666666666,21.5,0.0
2015-01-12,2.2041666666666666,0.5,13.775,58.25,0.28
2015-01-13,2.3541666666666665,0.0,6.5125,2.1666666666666665,0.0
2015-01-14,3.970833333333333,0.0,4.3,1.25,0.0
2015-01-15,2.720833333333333,0.0,8.920833333333333,15.083333333333334,0.0
2015-01-16,2.9583333333333335,0.0,6.1000000000000005,0.7083333333333334,0.0
2015-01-17,3.1625,0.0,4.779166666666667,7.75,0.0
2015-01-18,4.120833333333334,0.0,3.8083333333333336,52.958333333333336,0.0
2015-01-19,6.108333333333333,0.0,4.0125,62.25,0.0
2015-01-20,6.945833333333333,0.0,4.416666666666667,95.5,0.0
2015-01-21,7.808333333333334,0.0,5.066666666666666,78.875,0.0
2015-01-22,9.041666666666666,0.0,5.104166666666667,83.04166666666667,0.0
2015-01-23,9.554166666666667,1.0,15.720833333333333,72.45833333333333,0.0
2015-01-24,8.4625,7.8,9.220833333333333,94.75,0.0
2015-01-25,6.441666666666666,4.4,4.966666666666667,99.66666666666667,0.0
2015-01-26,5.133333333333334,0.0,5.1625000000000005,95.375,0.0
2015-01-27,3.954166666666666,4.8,7.5625,99.58333333333333,0.35000000000000003
2015-01-28,4.441666666666666,0.0,5.541666666666667,96.91666666666667,0.0
2015-01-29,4.25,0.0,6.8999999999999995,72.625,0.0
2015-01-30,6.8125,0.0,8.541666666666666,94.66666666666667,0.0
2015-01-31,9.541666666666666,6.6,5.604166666666667,89.58333333333333,0.28
2015-02-01,7.479166666666667,18.2,4.545833333333333,73.58333333333333,0.63
2015-02-02,6.125,0.0,4.9875,77.04166666666667,0.0
2015-02-03,3.908333333333333,0.0,7.3625,34.666666666666664,0.0
2015-02-04,5.145833333333333,0.0,6.866666666666667,82.70833333333333,0.0
2015-02-05,7.329166666666667,0.0,5.791666666666667,64.375,0.0
2015-02-06,7.9125000000000005,11.3,18.025000000000002,82.45833333333333,0.77
2015-02-07,2.966666666666667,5.4,5.720833333333334,83.20833333333333,0.42000000000000004
2015-02-08,1.9416666666666667,0.0,6.179166666666667,62.625,0.0
2015-02-09,-0.37916666666666665,0.4,7.554166666666667,87.33333333333333,0.28
2015-02-10,-3.091666666666667,0.0,10.895833333333334,50.625,0.0
2015-02-11,-2.3583333333333334,0.0,7.329166666666667,43.583333333333336,0.0
2015-02-12,-0.3416666666666666,0.0,7.2250000000000005,52.166666666666664,0.0
2015-02-13,3.4916666666666667,0.0,4.8125,3.2083333333333335,0.0
2015-02-14,3.5875,0.0,3.533333333333333,1.5416666666666667,0.0
2015-02-15,3.25,0.0,4.4375,30.0,0.0
2015-02-16,2.704166666666667,0.7,4.966666666666666,69.45833333333333,0.0
2015-02-17,-1.4541666666666666,0.5,9.466666666666667,71.95833333333333,0.56
2015-02-18,-3.0083333333333333,0.0,9.770833333333334,8.583333333333334,0.0
2015-02-19,0.8291666666666667,0.0,9.8125,44.333333333333336,0.0
2015-02-20,5.166666666666667,0.0,5.370833333333334,46.166666666666664,0.0
2015-02-21,5.3,0.0,6.945833333333333,12.208333333333334,0.0
2015-02-22,5.883333333333333,0.1,8.054166666666667,83.70833333333333,0.0
2015-02-23,8.120833333333334,1.4,9.637500000000001,98.58333333333333,0.0
2015-02-24,9.125,1.5,4.520833333333333,98.08333333333333,0.0
2015-02-25,8.654166666666667,1.0,9.404166666666667,84.66666666666667,0.0
2015-02-26,8.983333333333333,0.0,4.575,66.04166666666667,0.0
2015-02-27,8.329166666666667,3.4,8.858333333333333,96.875,0.0
2015-02-28,9.1,0.2,4.820833333333334,62.583333333333336,0.0
2015-03-01,8.5,0.5,6.9375,73.125,0.0
2015-03-02,8.737499999999999,0.0,3.783333333333333,64.54166666666667,0.0
2015-03-03,8.633333333333333,1.4,10.691666666666668,44.958333333333336,0.0
2015-03-04,4.979166666666667,0.0,7.8,4.291666666666667,0.0
2015-03-05,4.991666666666666,3.3,11.862499999999999,95.04166666666667,0.21000000000000002
